Unnamed: 0,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,y
0,44,Federal-gov,19,9th,10,Divorced,Machine-op-inspct,Not-in-family,Other,Male,18,71,29,Jamaica,>50K
1,47,Never-worked,0,Prof-school,6,Married-spouse-absent,Tech-support,Not-in-family,White,Male,97,96,98,Dominican-Republic,>50K
2,64,Private,100,HS-grad,13,Divorced,Transport-moving,Husband,White,Female,42,23,57,Vietnam,>50K
3,67,Self-emp-inc,88,Doctorate,12,Married-civ-spouse,Protective-serv,Unmarried,Black,Male,1,90,81,?,<=50K
4,67,Never-worked,0,7th-8th,10,Married-spouse-absent,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,49,50,9,France,>50K
5,9,Private,61,5th-6th,1,Widowed,Adm-clerical,Husband,White,Male,87,53,7,Hong,>50K
6,83,Local-gov,23,5th-6th,15,Divorced,Protective-serv,Other-relative,White,Male,59,45,84,Haiti,<=50K
7,21,Federal-gov,84,Some-college,9,Married-civ-spouse,Machine-op-inspct,Other-relative,Other,Female,56,72,61,Laos,>50K
8,36,Private,4,5th-6th,6,Separated,?,Unmarried,White,Male,44,77,54,China,>50K
9,87,Without-pay,70,HS-grad,6,Divorced,Protective-serv,Husband,Other,Female,48,84,64,Haiti,>50K
10,70,Self-emp-not-inc,73,11th,14,Divorced,Tech-support,Own-child,White,Female,46,8,39,South,>50K
11,88,Local-gov,100,10th,11,Never-married,Other-service,Wife,Black,Male,13,26,39,Vietnam,<=50K
12,88,Federal-gov,53,10th,11,Married-civ-spouse,?,Own-child,Black,Female,32,56,39,Portugal,>50K
13,12,Local-gov,79,7th-8th,5,Married-civ-spouse,Farming-fishing,Other-relative,Asian-Pac-Islander,Male,77,1,0,Vietnam,<=50K
14,58,Without-pay,59,9th,5,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Female,46,32,74,Poland,>50K
15,65,Self-emp-not-inc,4,1st-4th,9,Divorced,Exec-managerial,Other-relative,Other,Female,3,45,81,Ireland,<=50K
16,39,?,94,5th-6th,9,Divorced,Exec-managerial,Husband,Asian-Pac-Islander,Female,48,74,36,Columbia,<=50K
17,87,Without-pay,56,9th,15,Separated,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Male,99,29,34,Italy,<=50K
18,46,Without-pay,63,Prof-school,3,Separated,Machine-op-inspct,Husband,Other,Female,23,90,53,South,>50K
19,88,Self-emp-not-inc,36,10th,10,Married-civ-spouse,Sales,Unmarried,Other,Female,16,12,31,El-Salvador,>50K
20,81,Private,8,1st-4th,5,Divorced,Protective-serv,Husband,White,Female,5,83,82,?,>50K
21,37,?,39,11th,10,Widowed,Other-service,Husband,Other,Female,78,48,90,Haiti,>50K
22,25,Without-pay,85,12th,7,Never-married,Adm-clerical,Not-in-family,Black,Female,55,20,23,Greece,>50K
