Unnamed: 0,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,y
0,44,Federal-gov,19,9th,10,Divorced,Machine-op-inspct,Not-in-family,Other,Male,18,71,29,Jamaica,uzjht0
1,47,Never-worked,0,Prof-school,6,Married-spouse-absent,Tech-support,Not-in-family,White,Male,97,96,98,Dominican-Republic,srudn1
2,64,Private,100,HS-grad,13,Divorced,Transport-moving,Husband,White,Female,42,23,57,Vietnam,nxptf2
3,67,Self-emp-inc,88,Doctorate,12,Married-civ-spouse,Protective-serv,Unmarried,Black,Male,1,90,81,?,wogcg3
4,67,Never-worked,0,7th-8th,10,Married-spouse-absent,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,49,50,9,France,kvmis4
5,9,Private,61,5th-6th,1,Widowed,Adm-clerical,Husband,White,Male,87,53,7,Hong,zljlf5
6,83,Local-gov,23,5th-6th,15,Divorced,Protective-serv,Other-relative,White,Male,59,45,84,Haiti,pnkzv6
7,21,Federal-gov,84,Some-college,9,Married-civ-spouse,Machine-op-inspct,Other-relative,Other,Female,56,72,61,Laos,dgcuu7
8,36,Private,4,5th-6th,6,Separated,?,Unmarried,White,Male,44,77,54,China,mjtch8
9,87,Without-pay,70,HS-grad,6,Divorced,Protective-serv,Husband,Other,Female,48,84,64,Haiti,yqjfu9
10,70,Self-emp-not-inc,73,11th,14,Divorced,Tech-support,Own-child,White,Female,46,8,39,South,ezhfq10
11,88,Local-gov,100,10th,11,Never-married,Other-service,Wife,Black,Male,13,26,39,Vietnam,yawoi11
12,88,Federal-gov,53,10th,11,Married-civ-spouse,?,Own-child,Black,Female,32,56,39,Portugal,hocos12
13,12,Local-gov,79,7th-8th,5,Married-civ-spouse,Farming-fishing,Other-relative,Asian-Pac-Islander,Male,77,1,0,Vietnam,dxpwn13
14,58,Without-pay,59,9th,5,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Female,46,32,74,Poland,crekk14
15,65,Self-emp-not-inc,4,1st-4th,9,Divorced,Exec-managerial,Other-relative,Other,Female,3,45,81,Ireland,rrqim15
16,39,?,94,5th-6th,9,Divorced,Exec-managerial,Husband,Asian-Pac-Islander,Female,48,74,36,Columbia,arxvy16
17,87,Without-pay,56,9th,15,Separated,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Male,99,29,34,Italy,sobod17
18,46,Without-pay,63,Prof-school,3,Separated,Machine-op-inspct,Husband,Other,Female,23,90,53,South,khxka18
19,88,Self-emp-not-inc,36,10th,10,Married-civ-spouse,Sales,Unmarried,Other,Female,16,12,31,El-Salvador,rdokw19
20,81,Private,8,1st-4th,5,Divorced,Protective-serv,Husband,White,Female,5,83,82,?,gmxff20
21,37,?,39,11th,10,Widowed,Other-service,Husband,Other,Female,78,48,90,Haiti,hcbab21
22,25,Without-pay,85,12th,7,Never-married,Adm-clerical,Not-in-family,Black,Female,55,20,23,Greece,obczw22
23,77,Never-worked,48,5th-6th,16,Married-spouse-absent,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Male,63,9,86,Cuba,qpuva23
24,72,State-gov,52,Some-college,15,Divorced,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,92,57,40,Outlying-US(Guam-USVI-etc),rkqxr24
25,9,Self-emp-inc,59,9th,15,Married-civ-spouse,Other-service,Not-in-family,White,Female,42,92,6,Holand-Netherlands,lxnqj25
26,20,Local-gov,9,7th-8th,14,Separated,Sales,Own-child,White,Male,85,43,39,Dominican-Republic,rdxdz26
27,80,Without-pay,36,Preschool,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,95,34,94,Germany,iddcz27
28,69,Without-pay,17,10th,1,Married-AF-spouse,Priv-house-serv,Husband,Amer-Indian-Eskimo,Male,26,55,92,Ireland,uwjec28
29,79,Federal-gov,72,Bachelors,4,Never-married,Adm-clerical,Own-child,Black,Male,66,27,41,France,bhgcl29
30,47,?,37,12th,3,Divorced,?,Husband,Other,Male,93,86,49,Laos,hskvb30
31,64,Without-pay,10,11th,3,Never-married,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Female,93,85,9,Cuba,wzpmk31
32,82,Private,46,Assoc-voc,14,Married-AF-spouse,Transport-moving,Unmarried,Asian-Pac-Islander,Male,30,75,31,Hong,bvwan32
33,99,State-gov,44,12th,15,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,83,5,34,Portugal,dgqjs33
34,88,?,7,7th-8th,5,Never-married,Protective-serv,Wife,Other,Male,87,19,19,Peru,lyloz34
35,49,Without-pay,3,Masters,4,Divorced,Sales,Other-relative,Amer-Indian-Eskimo,Female,15,60,46,Nicaragua,lfdnn35
36,29,State-gov,65,Some-college,11,Married-AF-spouse,Other-service,Husband,Black,Male,76,0,80,Ecuador,qsbnk36
37,19,Self-emp-inc,18,11th,14,Separated,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Female,71,97,52,United-States,rbxff37
38,19,Federal-gov,92,Assoc-voc,4,Married-spouse-absent,Exec-managerial,Husband,White,Male,34,59,27,Columbia,rbxrg38
39,14,Without-pay,30,Some-college,13,Never-married,Farming-fishing,Not-in-family,Black,Male,72,67,31,Dominican-Republic,amcdd39
40,39,?,44,Doctorate,8,Married-AF-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Male,12,90,41,Scotland,vogvr40
41,32,Self-emp-inc,52,10th,2,Separated,Sales,Unmarried,Other,Female,89,58,84,France,eldyp41
42,65,Self-emp-not-inc,38,1st-4th,12,Widowed,Other-service,Wife,Asian-Pac-Islander,Male,45,59,5,Columbia,swslx42
43,9,Federal-gov,23,Prof-school,9,Never-married,Craft-repair,Unmarried,Amer-Indian-Eskimo,Female,82,100,93,Cuba,jwctd43
44,57,Local-gov,7,7th-8th,13,Divorced,Farming-fishing,Other-relative,Amer-Indian-Eskimo,Male,55,17,15,Dominican-Republic,xjdgh44
45,32,Federal-gov,95,Prof-school,8,Married-civ-spouse,?,Not-in-family,Amer-Indian-Eskimo,Male,66,93,6,Holand-Netherlands,surkm45
46,31,Private,46,Assoc-acdm,2,Separated,?,Unmarried,Other,Male,58,100,5,Philippines,zlnjv46
47,74,Without-pay,42,Assoc-voc,14,Married-spouse-absent,Sales,Husband,Asian-Pac-Islander,Female,100,40,55,United-States,xrgtd47
48,23,Self-emp-inc,41,9th,14,Never-married,Transport-moving,Other-relative,Amer-Indian-Eskimo,Male,66,66,57,?,qumil48
49,35,Self-emp-not-inc,14,Doctorate,13,Divorced,Sales,Wife,Other,Female,34,86,64,France,xahim49
50,75,Self-emp-not-inc,2,Some-college,4,Divorced,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Male,33,26,0,Poland,ezmqe50
51,55,Private,68,Bachelors,16,Widowed,Prof-specialty,Husband,Other,Male,77,78,86,India,ajfoo51
52,28,Without-pay,4,9th,4,Divorced,Priv-house-serv,Other-relative,Amer-Indian-Eskimo,Male,3,77,21,Vietnam,fccge52
53,34,Federal-gov,50,Masters,4,Married-civ-spouse,Transport-moving,Husband,White,Male,56,17,90,El-Salvador,lyeos53
54,0,Without-pay,42,Assoc-acdm,7,Divorced,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Male,62,27,58,Greece,hnxha54
55,0,Private,61,Assoc-acdm,3,Married-AF-spouse,Handlers-cleaners,Wife,Other,Male,25,50,32,Taiwan,qxpdk55
56,36,Self-emp-inc,80,Bachelors,9,Married-AF-spouse,Farming-fishing,Not-in-family,Black,Female,51,40,17,Haiti,xtssf56
57,53,Local-gov,3,Preschool,12,Divorced,Protective-serv,Own-child,Amer-Indian-Eskimo,Male,2,71,52,Peru,stwys57
58,5,Private,74,1st-4th,10,Separated,Farming-fishing,Husband,White,Female,10,40,1,Taiwan,hfjhp58
59,38,State-gov,8,12th,15,Never-married,Transport-moving,Own-child,Other,Female,8,73,89,England,lholk59
60,17,Private,56,9th,13,Married-civ-spouse,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Male,62,94,79,England,kwgpq60
61,79,Without-pay,95,Preschool,5,Married-AF-spouse,Prof-specialty,Own-child,White,Male,67,53,12,?,vnyun61
62,4,Without-pay,10,5th-6th,13,Married-civ-spouse,Farming-fishing,Other-relative,Other,Female,49,4,68,Trinadad&Tobago,vdpgs62
63,42,State-gov,96,Masters,6,Separated,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Female,94,87,80,Poland,wrmfo63
64,58,?,71,9th,14,Never-married,Tech-support,Own-child,Amer-Indian-Eskimo,Male,60,95,12,Greece,nfogh64
65,31,Never-worked,75,7th-8th,4,Separated,Handlers-cleaners,Other-relative,White,Male,19,43,87,Guatemala,nrfrg65
